file,split,zone_raw,color_raw,defect_code,bbox_cx,bbox_cy,bbox_area,match_level,distance,defect_id,inspection_id,dd_defect_type,dd_zone,dd_color,dd_severity,dd_rework,dd_rework_min,dd_area_mm2,dd_x_mm,dd_y_mm,dd_confidence
bumper_black_000016,train,bumper,black,SCR,0.15625,0.805556,0.004575,exact_3,0.0448,DEF0000038325,INS0000457831,SCR,BUMPER_F,B3L,MINOR,N,15,79.74,247.2,681.9,0.913
bumper_black_000223,train,bumper,black,DNT,0.525781,0.726389,0.007296,exact_3,0.046,DEF0000136388,INS0002849677,DNT,BUMPER_F,B3L,MAJOR,Y,45,167.9,1214.9,615.7,0.9835
bumper_black_000223,train,bumper,black,GAP,0.485938,0.677778,0.031294,exact_3,0.0837,DEF0000118325,INS0001618813,GAP,BUMPER_F,B3L,CRITICAL,Y,60,426.48,724.5,672.1,0.8856
bumper_black_000223,train,bumper,black,PDR,0.364063,0.543056,0.003255,exact_3,0.0498,DEF0000149598,INS0001562603,PDR,BUMPER_R,B3L,MINOR,N,25,330.28,661.1,768.5,0.9339
bumper_black_000294,train,bumper,black,PBB,0.919141,0.398611,0.004785,exact_3,0.0852,DEF0000095047,INS0001817198,PBB,BUMPER_R,B3L,MINOR,N,30,258.36,1880.4,283.7,0.8836
bumper_black_000346,train,bumper,black,PDR,0.303125,0.251389,0.002656,exact_3,0.0248,DEF0000066273,INS0000674680,PDR,BUMPER_R,B3L,MINOR,N,25,213.5,557.5,261.1,0.8618
bumper_black_000346,train,bumper,black,ORG,0.378906,0.630556,0.014601,exact_3,0.0999,DEF0000120732,INS0001494184,ORG,BUMPER_R,B3L,MINOR,Y,20,372.8,1024.3,656.7,0.9727
bumper_black_000582,train,bumper,black,DST,0.627734,0.613194,0.002449,exact_3,0.0625,DEF0000144315,INS0001811463,DST,BUMPER_R,B3L,MINOR,N,10,61.9,1183.2,523.1,0.8572
bumper_black_000582,train,bumper,black,DNT,0.88125,0.501389,0.017226,exact_3,0.0428,DEF0000130143,INS0002909418,DNT,BUMPER_F,B3L,MAJOR,Y,45,461.14,1908.7,420.5,0.9757
bumper_black_000582,train,bumper,black,DST,0.539844,0.323611,0.003273,exact_3,0.0646,DEF0000086081,INS0002761720,DST,BUMPER_R,B3L,MINOR,N,10,199.16,1242.6,292.2,0.9397
