file,defect_code,zone_raw,color_raw,color_code,matched_defect_only,matched_defect_zone,matched_defect_zone_color
bumper_black_000889,DNT,bumper,black,B3L,25583,4312,907.0
bumper_black_000995,SCR,bumper,black,B3L,42432,7069,1356.0
bumper_black_000995,GAP,bumper,black,B3L,13605,2315,461.0
bumper_blue_000880,DST,bumper,blue,ABP,17150,2849,278.0
bumper_blue_000941,DST,bumper,blue,ABP,17150,2849,278.0
bumper_blue_000941,DST,bumper,blue,ABP,17150,2849,278.0
bumper_blue_000950,SCR,bumper,blue,ABP,42432,7069,662.0
bumper_blue_000991,SCR,bumper,blue,ABP,42432,7069,662.0
bumper_bronze_000810,CRK,bumper,bronze,,6841,1129,
bumper_bronze_000810,DNT,bumper,bronze,,25583,4312,
bumper_gray_000829,DST,bumper,gray,YW6,17150,2849,190.0
bumper_gray_000896,DNT,bumper,gray,YW6,25583,4312,297.0
bumper_gray_000921,SCR,bumper,gray,YW6,42432,7069,556.0
bumper_green_000822,GAP,bumper,green,,13605,2315,
bumper_green_000822,SCR,bumper,green,,42432,7069,
bumper_green_000970,DNT,bumper,green,,25583,4312,
bumper_pearl_white_000853,ORG,bumper,white,P2W,13782,2271,425.0
bumper_pearl_white_000853,SCR,bumper,white,P2W,42432,7069,1322.0
bumper_pearl_white_000853,DST,bumper,white,P2W,17150,2849,508.0
bumper_pearl_white_000953,ORG,bumper,white,P2W,13782,2271,425.0
bumper_pearl_white_000953,ORG,bumper,white,P2W,13782,2271,425.0
bumper_pearl_white_000953,SCR,bumper,white,P2W,42432,7069,1322.0
bumper_red_000857,SCR,bumper,red,R4M,42432,7069,315.0
bumper_red_000857,DST,bumper,red,R4M,17150,2849,152.0
bumper_red_000857,SCR,bumper,red,R4M,42432,7069,315.0
bumper_red_000898,PBB,bumper,red,R4M,20738,3389,175.0
bumper_silver_000827,SCR,bumper,silver,SWP,42432,7069,904.0
bumper_silver_000854,SCR,bumper,silver,SWP,42432,7069,904.0
bumper_silver_000945,PBB,bumper,silver,SWP,20738,3389,421.0
bumper_silver_000945,DNT,bumper,silver,SWP,25583,4312,477.0
bumper_white_000808,GAP,bumper,white,P2W,13605,2315,447.0
bumper_white_000811,DNT,bumper,white,P2W,25583,4312,775.0
bumper_white_000968,PBB,bumper,white,P2W,20738,3389,668.0
bumper_white_000968,PBB,bumper,white,P2W,20738,3389,668.0
fender_black_000807,PDR,fender,black,B3L,17111,2884,598.0
fender_black_000807,PBB,fender,black,B3L,20738,3450,686.0
fender_black_000984,SCR,fender,black,B3L,42432,6940,1354.0
fender_blue_000831,DST,fender,blue,ABP,17150,2853,294.0
fender_blue_000938,PDR,fender,blue,ABP,17111,2884,308.0
fender_blue_000938,DNT,fender,blue,ABP,25583,4288,414.0
fender_blue_000997,SCR,fender,blue,ABP,42432,6940,680.0
fender_blue_000997,DNT,fender,blue,ABP,25583,4288,414.0
fender_blue_000997,SCR,fender,blue,ABP,42432,6940,680.0
fender_bronze_000835,DST,fender,bronze,,17150,2853,
fender_bronze_000840,GAP,fender,bronze,,13605,2295,
fender_bronze_000840,PBB,fender,bronze,,20738,3450,
fender_bronze_000866,DST,fender,bronze,,17150,2853,
fender_bronze_000866,CRK,fender,bronze,,6841,1187,
fender_bronze_000977,DNT,fender,bronze,,25583,4288,
fender_gray_000834,DNT,fender,gray,YW6,25583,4288,338.0
fender_gray_000871,SCR,fender,gray,YW6,42432,6940,551.0
