epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4984,1.34096,4.05935,1.07042,0.62736,0.71281,0.70533,0.42942,1.20421,1.59094,0.99496,0.000272113,0.000272113,0.000272113
2,31.6527,1.1487,1.45825,1.00697,0.8303,0.90179,0.89046,0.66973,0.87989,0.76969,0.92404,0.000547966,0.000547966,0.000547966
3,46.7433,1.05453,1.11589,0.98369,0.85712,0.89933,0.93207,0.674,0.85758,0.71754,0.91277,0.000821986,0.000821986,0.000821986
4,61.8591,1.13391,0.97351,1.0065,0.90187,0.79468,0.8502,0.61255,0.97697,0.83108,0.96845,0.000824753,0.000824753,0.000824753
5,77.5034,1.05347,0.84695,0.97612,0.92125,0.90728,0.95439,0.69043,0.86816,0.59525,0.89596,0.000822004,0.000822004,0.000822004
6,93.9265,1.02652,0.8005,0.96941,0.79607,0.9375,0.91034,0.67841,0.85292,0.61161,0.89757,0.000819255,0.000819255,0.000819255
7,109.343,0.96362,0.73978,0.95954,0.89612,0.95833,0.96837,0.68879,0.85552,0.58268,0.90705,0.000816507,0.000816507,0.000816507
8,124.478,0.92136,0.68881,0.93898,0.88838,0.9648,0.93545,0.75528,0.71439,0.53315,0.8694,0.000813758,0.000813758,0.000813758
9,139.65,0.92582,0.67302,0.94624,0.93646,0.92722,0.95809,0.77506,0.66037,0.5041,0.86337,0.000811009,0.000811009,0.000811009
10,154.903,0.89732,0.6808,0.92831,0.91464,0.95835,0.94993,0.72597,0.78891,0.55712,0.88778,0.00080826,0.00080826,0.00080826
11,170.042,0.89487,0.63971,0.92663,0.92204,0.98006,0.97236,0.78158,0.68413,0.47495,0.85058,0.000805511,0.000805511,0.000805511
12,185.222,0.87485,0.63023,0.91471,0.94052,0.97024,0.97176,0.76657,0.69763,0.4584,0.86816,0.000802762,0.000802762,0.000802762
13,200.291,0.87852,0.64589,0.93716,0.9304,0.9821,0.96841,0.78443,0.6099,0.45844,0.84883,0.000800013,0.000800013,0.000800013
14,215.354,0.85641,0.60755,0.92312,0.89893,0.96327,0.95732,0.77166,0.65349,0.47817,0.85842,0.000797264,0.000797264,0.000797264
15,230.369,0.84499,0.60112,0.92337,0.93483,0.94946,0.96988,0.78936,0.62669,0.46986,0.84988,0.000794515,0.000794515,0.000794515
16,245.49,0.84821,0.60151,0.91957,0.93828,0.9585,0.97072,0.78102,0.64717,0.45046,0.84441,0.000791767,0.000791767,0.000791767
17,260.651,0.8617,0.58851,0.91867,0.9792,0.98915,0.99447,0.79172,0.68201,0.44209,0.85008,0.000789018,0.000789018,0.000789018
18,275.757,0.82049,0.56843,0.9021,0.977,0.99759,0.99487,0.81467,0.62673,0.42319,0.83533,0.000786269,0.000786269,0.000786269
19,290.923,0.76667,0.55157,0.89082,0.95802,0.99262,0.99213,0.7795,0.64736,0.43728,0.84282,0.00078352,0.00078352,0.00078352
20,306.002,0.80807,0.56338,0.90863,0.9581,0.99405,0.99097,0.80682,0.63148,0.42577,0.83779,0.000780771,0.000780771,0.000780771
21,321.199,0.7756,0.547,0.8951,0.93555,0.9724,0.97193,0.81472,0.61533,0.43639,0.84027,0.000778022,0.000778022,0.000778022
22,336.383,0.82482,0.56875,0.90658,0.95687,0.98214,0.9868,0.80962,0.62152,0.41848,0.84236,0.000775273,0.000775273,0.000775273
23,351.388,0.77887,0.53985,0.89773,0.96018,0.9605,0.98543,0.82039,0.58,0.40465,0.84059,0.000772524,0.000772524,0.000772524
