epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7906,1.35858,3.72811,1.06907,0.83298,0.80179,0.8391,0.53487,1.0452,0.93328,0.92793,0.000272113,0.000272113,0.000272113
2,22.2364,1.10822,1.31441,0.98973,0.81419,0.84251,0.88131,0.65958,0.93558,0.83101,0.90568,0.000547966,0.000547966,0.000547966
3,33.4948,1.11305,1.01191,1.00206,0.81269,0.81695,0.84717,0.63749,0.97584,0.79807,0.93537,0.000821986,0.000821986,0.000821986
4,45.1935,1.12733,1.00851,1.00281,0.82095,0.86618,0.91274,0.70254,0.842,0.77132,0.90145,0.000824753,0.000824753,0.000824753
5,57.9072,1.06717,0.89434,0.97811,0.79853,0.8815,0.90278,0.67587,0.87452,0.73591,0.9347,0.000822004,0.000822004,0.000822004
6,68.2819,1.05726,0.84766,0.97875,0.89923,0.86677,0.90972,0.68496,0.78723,0.75765,0.89719,0.000819255,0.000819255,0.000819255
7,78.5359,0.98114,0.77409,0.95972,0.88079,0.94954,0.95079,0.7633,0.70867,0.55055,0.86962,0.000816507,0.000816507,0.000816507
8,88.3227,0.93981,0.72135,0.94887,0.88152,0.92718,0.92672,0.72245,0.75381,0.5603,0.89746,0.000813758,0.000813758,0.000813758
9,98.3336,0.93478,0.70979,0.95534,0.94881,0.9056,0.94221,0.74701,0.74203,0.53508,0.88518,0.000811009,0.000811009,0.000811009
10,108.604,0.93451,0.71418,0.94237,0.91331,0.96034,0.95795,0.74751,0.70536,0.5718,0.87668,0.00080826,0.00080826,0.00080826
11,121.818,0.91747,0.67933,0.94906,0.87989,0.90584,0.92832,0.7318,0.73607,0.58983,0.89094,0.000805511,0.000805511,0.000805511
12,135.701,0.91076,0.67529,0.93433,0.89577,0.96279,0.95191,0.74725,0.7164,0.50036,0.88164,0.000802762,0.000802762,0.000802762
13,146.543,0.86865,0.65824,0.94162,0.87018,0.94993,0.94196,0.76203,0.6751,0.49459,0.87683,0.000800013,0.000800013,0.000800013
14,156.457,0.8806,0.644,0.92644,0.85042,0.95046,0.90786,0.76731,0.67174,0.51292,0.86556,0.000797264,0.000797264,0.000797264
15,167.056,0.88138,0.64695,0.92886,0.87413,0.93452,0.94358,0.76512,0.72068,0.50894,0.86757,0.000794515,0.000794515,0.000794515
16,177.425,0.90748,0.64337,0.93504,0.91287,0.97619,0.96603,0.78674,0.69715,0.46356,0.86669,0.000791767,0.000791767,0.000791767
17,188.813,0.8646,0.58486,0.93663,0.9345,0.96429,0.95828,0.79909,0.61619,0.42211,0.86839,0.000789018,0.000789018,0.000789018
18,199.477,0.83637,0.58456,0.92046,0.9314,0.98538,0.95722,0.79739,0.57345,0.43099,0.84952,0.000786269,0.000786269,0.000786269
19,210.019,0.79189,0.56091,0.90081,0.91821,0.96365,0.96108,0.76807,0.68666,0.4709,0.86339,0.00078352,0.00078352,0.00078352
20,220.01,0.83755,0.59867,0.91864,0.92683,0.96176,0.97925,0.80486,0.62782,0.44614,0.85593,0.000780771,0.000780771,0.000780771
