epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1857,1.19396,3.69622,1.05708,0.7762,0.80483,0.84526,0.61381,0.94575,0.79408,0.98845,0.00027489,0.00027489,0.00027489
2,42.5766,1.10491,1.34582,1.01845,0.80186,0.91772,0.87288,0.66347,0.87912,0.73618,0.91054,0.000550733,0.000550733,0.000550733
3,62.8522,1.11909,1.06969,1.02415,0.87443,0.84,0.90412,0.68584,0.85677,0.72958,0.92993,0.000824744,0.000824744,0.000824744
4,82.9417,1.13064,1.05939,1.04102,0.89704,0.89185,0.93302,0.69097,0.84822,0.6595,0.91668,0.000824753,0.000824753,0.000824753
5,102.664,0.98215,0.85642,0.99917,0.79969,0.92019,0.87624,0.67159,0.77846,0.65061,0.90376,0.000822004,0.000822004,0.000822004
6,122.576,1.00383,0.84194,0.99466,0.82078,0.91621,0.92265,0.70835,0.81585,0.60627,0.92914,0.000819255,0.000819255,0.000819255
7,142.581,1.02031,0.83255,1.00701,0.85271,0.9421,0.93966,0.74525,0.68899,0.52613,0.88904,0.000816507,0.000816507,0.000816507
8,162.772,0.91861,0.73737,0.96268,0.91936,0.92731,0.95096,0.7524,0.7089,0.53383,0.87642,0.000813758,0.000813758,0.000813758
9,182.729,0.95768,0.78086,0.97916,0.85932,0.91347,0.89673,0.71674,0.70517,0.59569,0.89594,0.000811009,0.000811009,0.000811009
10,202.649,0.93316,0.76434,0.96061,0.93151,0.93549,0.9629,0.77141,0.70051,0.52542,0.89036,0.00080826,0.00080826,0.00080826
11,222.78,0.90476,0.70751,0.95806,0.86299,0.88617,0.93654,0.74589,0.72627,0.53585,0.8954,0.000805511,0.000805511,0.000805511
12,242.808,0.9233,0.73433,0.96656,0.8888,0.9447,0.9596,0.77229,0.67139,0.50849,0.87099,0.000802762,0.000802762,0.000802762
13,262.734,0.87186,0.68343,0.9434,0.89079,0.92855,0.95492,0.78117,0.67536,0.51213,0.87985,0.000800013,0.000800013,0.000800013
14,282.77,0.85962,0.6661,0.94339,0.91042,0.96344,0.96915,0.77581,0.66249,0.47565,0.8727,0.000797264,0.000797264,0.000797264
15,302.858,0.86459,0.6728,0.95224,0.97224,0.95057,0.97837,0.81199,0.62837,0.46681,0.87073,0.000794515,0.000794515,0.000794515
16,322.779,0.87795,0.65728,0.94697,0.93554,0.95833,0.96293,0.77157,0.68698,0.48011,0.88618,0.000791767,0.000791767,0.000791767
17,342.677,0.80936,0.61084,0.92978,0.95322,0.93583,0.96136,0.7952,0.61873,0.44827,0.8769,0.000789018,0.000789018,0.000789018
18,362.626,0.81901,0.60161,0.93473,0.95879,0.96377,0.98127,0.82079,0.58449,0.44081,0.8705,0.000786269,0.000786269,0.000786269
19,382.753,0.83696,0.59663,0.93357,0.95819,0.98245,0.98742,0.80253,0.65491,0.45479,0.8785,0.00078352,0.00078352,0.00078352
20,402.741,0.85682,0.62504,0.95908,0.92228,0.97709,0.965,0.8187,0.59357,0.42424,0.85885,0.000780771,0.000780771,0.000780771
21,422.613,0.80268,0.59077,0.92895,0.95555,0.96236,0.97933,0.82687,0.58461,0.41327,0.85546,0.000778022,0.000778022,0.000778022
22,442.696,0.76287,0.54385,0.91839,0.95649,0.95271,0.98015,0.81898,0.61342,0.42227,0.86622,0.000775273,0.000775273,0.000775273
23,462.795,0.78312,0.55928,0.91514,0.94989,0.98017,0.98233,0.83607,0.58251,0.39913,0.85181,0.000772524,0.000772524,0.000772524
24,482.835,0.74418,0.55567,0.91201,0.96399,0.98214,0.98725,0.82007,0.54016,0.38876,0.85965,0.000769775,0.000769775,0.000769775
25,502.777,0.76822,0.55858,0.92497,0.89332,0.97892,0.95545,0.79315,0.61305,0.43874,0.85785,0.000767026,0.000767026,0.000767026
26,522.663,0.79853,0.58231,0.93021,0.93867,0.96065,0.97487,0.83743,0.54316,0.37967,0.86388,0.000764278,0.000764278,0.000764278
27,542.669,0.76042,0.55423,0.91563,0.96246,0.98617,0.98601,0.83633,0.5556,0.39684,0.85339,0.000761529,0.000761529,0.000761529
28,562.627,0.75941,0.55671,0.91708,0.94785,0.9902,0.98623,0.82934,0.54916,0.39191,0.85374,0.00075878,0.00075878,0.00075878
29,582.609,0.72959,0.53945,0.91505,0.9836,0.97466,0.98353,0.83209,0.53268,0.3654,0.84446,0.000756031,0.000756031,0.000756031
30,602.473,0.75169,0.53615,0.91029,0.96561,0.98617,0.98776,0.84217,0.54803,0.37811,0.85273,0.000753282,0.000753282,0.000753282
31,622.682,0.74077,0.53411,0.9014,0.97426,0.98917,0.99369,0.82649,0.56215,0.36922,0.856,0.000750533,0.000750533,0.000750533
32,642.718,0.73729,0.53013,0.8979,0.95768,0.99405,0.99009,0.83724,0.50804,0.36261,0.8446,0.000747784,0.000747784,0.000747784
33,662.508,0.71158,0.50729,0.89078,0.98521,0.99041,0.99477,0.84589,0.52232,0.36224,0.84544,0.000745035,0.000745035,0.000745035
34,682.504,0.72102,0.52801,0.91267,0.98195,0.98214,0.99072,0.85474,0.4871,0.35892,0.83888,0.000742286,0.000742286,0.000742286
35,702.502,0.73147,0.51843,0.90705,0.97929,0.9682,0.98575,0.85289,0.53595,0.36611,0.84399,0.000739537,0.000739537,0.000739537
36,722.618,0.72496,0.51891,0.89536,0.97722,0.99405,0.99404,0.83758,0.53456,0.36185,0.83339,0.000736788,0.000736788,0.000736788
37,742.776,0.72792,0.51529,0.89974,0.98932,0.98421,0.99118,0.85943,0.49493,0.35395,0.83666,0.00073404,0.00073404,0.00073404
38,762.951,0.67735,0.47791,0.89286,0.98712,0.98361,0.99237,0.87541,0.47386,0.34672,0.83758,0.000731291,0.000731291,0.000731291
39,783.227,0.69249,0.49569,0.89238,0.98871,0.9869,0.99227,0.86208,0.49849,0.34605,0.83401,0.000728542,0.000728542,0.000728542
40,803.285,0.70971,0.50444,0.89101,0.98522,0.97913,0.99324,0.8509,0.49699,0.34578,0.8355,0.000725793,0.000725793,0.000725793
41,823.101,0.66489,0.47666,0.88578,0.98546,0.97486,0.99088,0.87134,0.48277,0.34046,0.83272,0.000723044,0.000723044,0.000723044
42,843.283,0.68026,0.46612,0.88268,0.97116,0.99229,0.99121,0.87822,0.45586,0.3324,0.82755,0.000720295,0.000720295,0.000720295
43,863.447,0.66361,0.48302,0.89734,0.98379,0.99297,0.99073,0.86675,0.50373,0.35207,0.83206,0.000717546,0.000717546,0.000717546
44,883.629,0.6571,0.47288,0.88453,0.98986,0.99261,0.99175,0.87353,0.48063,0.33953,0.83372,0.000714797,0.000714797,0.000714797
45,903.544,0.67266,0.4787,0.87732,0.98787,0.98293,0.99404,0.8855,0.45575,0.32896,0.82509,0.000712048,0.000712048,0.000712048
46,923.635,0.6678,0.46277,0.881,0.98437,0.99134,0.99375,0.86727,0.52472,0.35691,0.84237,0.000709299,0.000709299,0.000709299
47,943.899,0.66647,0.47258,0.88699,0.97684,0.99287,0.99202,0.86887,0.46934,0.33123,0.82973,0.000706551,0.000706551,0.000706551
48,963.96,0.65367,0.45964,0.8755,0.96124,0.9881,0.987,0.8749,0.4762,0.3366,0.82864,0.000703802,0.000703802,0.000703802
49,983.981,0.66575,0.45684,0.88946,0.97751,0.98776,0.9899,0.8616,0.5286,0.3395,0.83906,0.000701053,0.000701053,0.000701053
50,1003.96,0.68323,0.46717,0.87931,0.98741,0.98635,0.99158,0.86565,0.48979,0.33633,0.82781,0.000698304,0.000698304,0.000698304
51,1024.01,0.67606,0.4621,0.88255,0.98979,0.99264,0.99318,0.8959,0.44563,0.32737,0.82198,0.000695555,0.000695555,0.000695555
52,1044.22,0.64632,0.45507,0.88462,0.99175,0.99228,0.995,0.88746,0.45736,0.32631,0.82223,0.000692806,0.000692806,0.000692806
53,1064.31,0.65567,0.4625,0.87942,0.98599,0.99311,0.99244,0.87198,0.49676,0.34431,0.82718,0.000690057,0.000690057,0.000690057
54,1084.23,0.68792,0.47133,0.88397,0.984,0.98929,0.99149,0.85869,0.52301,0.33781,0.83704,0.000687308,0.000687308,0.000687308
55,1104.36,0.65764,0.45029,0.88575,0.98019,0.99405,0.99219,0.87829,0.46442,0.32997,0.81822,0.000684559,0.000684559,0.000684559
56,1124.3,0.60844,0.4387,0.86129,0.98972,0.97962,0.9912,0.88661,0.45022,0.31523,0.8193,0.00068181,0.00068181,0.00068181
57,1144.42,0.65295,0.46127,0.87597,0.98709,0.98107,0.9932,0.88837,0.44311,0.32586,0.817,0.000679062,0.000679062,0.000679062
58,1164.55,0.61745,0.45252,0.86192,0.98672,0.98168,0.99337,0.88065,0.46221,0.32634,0.82024,0.000676313,0.000676313,0.000676313
59,1184.55,0.61225,0.44247,0.86237,0.98232,0.98214,0.99235,0.88486,0.45006,0.31936,0.80958,0.000673564,0.000673564,0.000673564
60,1204.7,0.63073,0.44025,0.86091,0.98508,0.99405,0.99477,0.88634,0.43486,0.30721,0.8118,0.000670815,0.000670815,0.000670815
61,1224.74,0.62859,0.4404,0.8697,0.98002,0.9881,0.9898,0.89453,0.45309,0.31031,0.82119,0.000668066,0.000668066,0.000668066
62,1244.87,0.60467,0.42064,0.85331,0.97987,0.99197,0.99161,0.88367,0.44297,0.30826,0.81543,0.000665317,0.000665317,0.000665317
63,1264.82,0.62983,0.4487,0.87045,0.98239,0.98357,0.9939,0.8867,0.44301,0.31584,0.81352,0.000662568,0.000662568,0.000662568
64,1285.1,0.6438,0.44366,0.86897,0.97311,0.98341,0.99043,0.88067,0.43861,0.31028,0.81307,0.000659819,0.000659819,0.000659819
65,1305.15,0.62332,0.44472,0.85714,0.98961,0.99405,0.99339,0.89375,0.44988,0.3157,0.81218,0.00065707,0.00065707,0.00065707
66,1325.13,0.60746,0.42871,0.85658,0.99068,0.99033,0.99269,0.87548,0.47112,0.3257,0.82403,0.000654321,0.000654321,0.000654321
67,1345.3,0.58939,0.42013,0.86257,0.96208,0.99405,0.98346,0.88528,0.41307,0.29503,0.8225,0.000651573,0.000651573,0.000651573
68,1365.34,0.60529,0.43854,0.85607,0.97752,0.9881,0.99045,0.89659,0.41078,0.30867,0.81156,0.000648824,0.000648824,0.000648824
69,1385.46,0.62029,0.44016,0.86242,0.98829,0.99158,0.99477,0.89627,0.40754,0.30453,0.81377,0.000646075,0.000646075,0.000646075
70,1405.63,0.59436,0.4207,0.85296,0.99069,0.99042,0.9942,0.8995,0.41542,0.29996,0.81089,0.000643326,0.000643326,0.000643326
71,1425.73,0.58729,0.4214,0.8529,0.97729,0.98693,0.99388,0.88986,0.44741,0.30778,0.81583,0.000640577,0.000640577,0.000640577
72,1445.82,0.60621,0.42094,0.85131,0.98932,0.98655,0.99282,0.88404,0.43675,0.30197,0.81147,0.000637828,0.000637828,0.000637828
73,1465.98,0.60557,0.42355,0.85987,0.98731,0.95834,0.98626,0.8853,0.41957,0.31285,0.81314,0.000635079,0.000635079,0.000635079
74,1485.77,0.62246,0.4184,0.8541,0.9872,0.9892,0.99375,0.89793,0.40197,0.29302,0.81096,0.00063233,0.00063233,0.00063233
75,1505.77,0.60127,0.41934,0.86487,0.97837,0.99405,0.99187,0.90358,0.4178,0.29876,0.81227,0.000629581,0.000629581,0.000629581
76,1525.76,0.58215,0.40658,0.86367,0.9879,0.9945,0.995,0.89667,0.41973,0.28424,0.80973,0.000626832,0.000626832,0.000626832
77,1545.88,0.5945,0.42544,0.86437,0.99073,0.99405,0.9942,0.90352,0.40085,0.28832,0.80933,0.000624084,0.000624084,0.000624084
78,1565.93,0.56806,0.3988,0.85072,0.98722,0.99405,0.99477,0.90365,0.41772,0.28544,0.81444,0.000621335,0.000621335,0.000621335
79,1586.12,0.58427,0.41063,0.85625,0.98896,0.99087,0.99477,0.90955,0.40325,0.29302,0.81033,0.000618586,0.000618586,0.000618586
80,1606.49,0.60295,0.43129,0.86798,0.99191,0.98684,0.99309,0.8976,0.40719,0.29048,0.81388,0.000615837,0.000615837,0.000615837
81,1626.75,0.56012,0.40352,0.8503,0.98134,0.99306,0.99249,0.90535,0.39678,0.28166,0.80595,0.000613088,0.000613088,0.000613088
82,1646.91,0.60338,0.41392,0.86026,0.97877,0.99405,0.99457,0.91622,0.403,0.29051,0.8095,0.000610339,0.000610339,0.000610339
83,1667.16,0.57063,0.39144,0.85091,0.98661,0.98214,0.99187,0.90887,0.41464,0.2935,0.81074,0.00060759,0.00060759,0.00060759
84,1687.27,0.5945,0.42162,0.85779,0.98775,0.98439,0.99332,0.89662,0.41637,0.29968,0.81213,0.000604841,0.000604841,0.000604841
85,1707.48,0.5706,0.40824,0.84593,0.97272,0.9911,0.99031,0.8961,0.41131,0.2865,0.80703,0.000602092,0.000602092,0.000602092
86,1727.66,0.57561,0.41314,0.8563,0.97916,0.98443,0.99096,0.90593,0.40637,0.28936,0.80504,0.000599343,0.000599343,0.000599343
87,1748.09,0.58161,0.4082,0.8569,0.98321,0.98714,0.99241,0.90632,0.39989,0.27944,0.80753,0.000596595,0.000596595,0.000596595
88,1768.36,0.58086,0.40669,0.84687,0.98999,0.98547,0.99357,0.90156,0.41877,0.28493,0.81021,0.000593846,0.000593846,0.000593846
89,1788.55,0.58335,0.41014,0.85609,0.98335,0.99077,0.99309,0.9127,0.39848,0.27618,0.80608,0.000591097,0.000591097,0.000591097
90,1808.48,0.57419,0.39676,0.8481,0.98511,0.99405,0.99276,0.90579,0.40476,0.2839,0.8107,0.000588348,0.000588348,0.000588348
91,1828.61,0.59335,0.41218,0.85759,0.97562,0.9992,0.99348,0.90471,0.39396,0.28514,0.80433,0.000585599,0.000585599,0.000585599
92,1848.82,0.56136,0.40491,0.85127,0.99265,0.99388,0.99284,0.89223,0.39739,0.27652,0.80447,0.00058285,0.00058285,0.00058285
93,1869.03,0.56003,0.39319,0.84132,0.98136,0.99273,0.99284,0.88499,0.40696,0.2827,0.8089,0.000580101,0.000580101,0.000580101
94,1889.1,0.5577,0.39536,0.85023,0.9893,0.99325,0.99438,0.91718,0.38722,0.27369,0.8057,0.000577352,0.000577352,0.000577352
95,1909.38,0.57172,0.3911,0.84602,0.98551,0.99405,0.99339,0.91502,0.37622,0.27425,0.80103,0.000574603,0.000574603,0.000574603
96,1929.36,0.5386,0.37454,0.84371,0.98582,0.98797,0.99449,0.92546,0.37236,0.27193,0.80609,0.000571854,0.000571854,0.000571854
97,1949.56,0.55526,0.38182,0.85053,0.98843,0.99439,0.995,0.90104,0.40981,0.27995,0.81101,0.000569106,0.000569106,0.000569106
98,1969.59,0.56197,0.38631,0.84871,0.97975,0.99405,0.99438,0.9096,0.3732,0.27114,0.80045,0.000566357,0.000566357,0.000566357
99,1989.57,0.5632,0.40142,0.8502,0.98968,0.98741,0.99345,0.90433,0.38435,0.26769,0.80502,0.000563608,0.000563608,0.000563608
100,2009.61,0.54104,0.38575,0.83334,0.98587,0.98963,0.9925,0.90122,0.42921,0.2901,0.81025,0.000560859,0.000560859,0.000560859
101,2029.63,0.54648,0.37006,0.8392,0.99272,0.99306,0.99404,0.90555,0.43374,0.27139,0.80945,0.00055811,0.00055811,0.00055811
